Data Source,Name,Type
ReefScan,Orpheus,Island
ReefScan,Pelorus,Island
ReefScan,Davies,Reef
ReefScan,Dunganess,Reef
ReefScan,Masig,Reef
ReefScan,Aukane,Reef
ReefScan,Moore,Reef
ReefScan,Lizard,Island
ReefScan,Orpheus,Island
ReefScan,Pelorus,Island
ReefScan,Davies,Reef
ReefScan,Chicken,Reef
ReefScan,Broadhurst,Reef
ReefScan,Heron,Reef
ReefScan,Lady Musgrave,Island
RapidBenthos,Dungeness,Reef
RapidBenthos,Aukane,Reef
RapidBenthos,Masig,Reef
RapidBenthos,Lizard,Island
RapidBenthos,Moore,Reef
RapidBenthos,Orpheus,Island
RapidBenthos,Pelorus,Island
RapidBenthos,Davies,Reef
RapidBenthos,Halfway,Island
RapidBenthos,Heron,Island
RapidBenthos,Lady Musgrave,Island
